flow_id,packet_count,byte_count,upload_bytes,download_bytes,upload_packets,download_packets,byte_ratio_up_down,packet_ratio_up_down,direction_imbalance,flow_duration,iat_mean,iat_std,iat_min,iat_max,iat_median,pkt_size_mean,pkt_size_std,pkt_q10,pkt_q25,pkt_q50,pkt_q75,pkt_q90,frac_small_pkts,first4_up_mean,first4_up_std,first4_down_mean,first4_down_std,pkt_bin_p0,pkt_bin_p1,pkt_bin_p2,pkt_bin_p3,pkt_size_entropy,pkt_bin_up_p0,pkt_bin_up_p1,pkt_bin_up_p2,pkt_bin_up_p3,pkt_bin_down_p0,pkt_bin_down_p1,pkt_bin_down_p2,pkt_bin_down_p3,pkt_size_entropy_up,pkt_size_entropy_down,iat_up_q10,iat_up_median,iat_up_q90,iat_up_cv,iat_up_skew,iat_down_q10,iat_down_median,iat_down_q90,iat_down_cv,iat_down_skew,burst_iai_cv,burst_count,avg_burst_packets,avg_burst_bytes,max_burst_packets,max_burst_bytes,frac_bytes_in_bursts,burst_bytes_cv,burst_packets_cv,burst_count_ratio_download,burst_count_t20,avg_burst_bytes_t20,max_burst_bytes_t20,frac_bytes_in_bursts_t20,burst_count_t50,avg_burst_bytes_t50,max_burst_bytes_t50,frac_bytes_in_bursts_t50,burst_count_t200,avg_burst_bytes_t200,max_burst_bytes_t200,frac_bytes_in_bursts_t200,peak_rate_1s,peak_download_1s,peak_upload_1s,burst_count_download,avg_burst_bytes_download,max_burst_bytes_download,label,source_file
"('100.72.115.16', '142.251.111.84', 48550, 443, 17)_seg0",17,13754,4335,9419,7,10,0.3151810382434201,0.4117647058823529,0.3696379235131598,0.034734249114990234,0.0021708905696868896,0.004117328852011029,8.821487426757812e-06,0.013100624084472656,0.00010788440704345703,809.0588235294117,542.0391206402894,85.0,173.0,1294.0,1294.0,1294.0,0.17647058823529413,991.75,523.5123565876931,991.75,523.5123565876931,0.3529411764705675,0.0,0.1176470588235225,0.5294117647058513,0.9560443809671458,0.5714285714284898,0.0,0.0,0.4285714285713673,0.19999999999998,0.0,0.19999999999998,0.59999999999994,0.6829081047004717,0.9502705392332347,1.2278556823730469e-05,0.005129337310791016,0.012225508689880371,1.000360465295237,0.19720704812049605,3.9625167846679685e-05,4.100799560546875e-05,0.010342741012573242,1.8246076484129665,1.3382122260425091,0.8829643766388132,7,2.4285714285714284,1964.857142857143,7,7849,1.0,1.2809870609092378,0.8193169574810815,0.42857142857142855,7,1964.857142857143,7849,1.0,7,1964.857142857143,7849,1.0,7,1964.857142857143,7849,1.0,13754.0,9419.0,4335.0,3,3139.6666666666665,7849,0,youtube_20260429162913_00001.pcapng
"('100.72.115.16', '142.251.15.132', 51116, 443, 6)_seg0",28,13324,3149,10175,16,12,0.23634043830681478,0.5714285714285714,0.5273191233863704,0.08238983154296875,0.003051475242332176,0.007122028465559931,9.5367431640625e-07,0.02522444725036621,3.743171691894531e-05,475.85714285714283,599.5841841456053,66.0,66.0,82.0,1077.5,1466.0,0.5714285714285714,543.0,570.0763106812982,418.0,605.0718965544507,0.6785714285714044,0.03571428571428444,0.03571428571428444,0.2499999999999911,0.8477148084770054,0.8749999999999454,0.0624999999999961,0.0,0.0624999999999961,0.41666666666663194,0.0,0.08333333333332639,0.4999999999999583,0.46341355882643,0.9184277849930977,1.4686584472656252e-05,0.0001823902130126953,0.023197126388549802,1.6859505898404215,1.4251026914138942,3.743171691894531e-05,0.0001347064971923828,0.02586984634399414,1.9430778513096298,1.6359635383138633,2.246794841345681,21,1.3333333333333333,634.4761904761905,3,2098,1.0,1.1077505521395772,0.5345224838244479,0.47619047619047616,21,634.4761904761905,2098,1.0,21,634.4761904761905,2098,1.0,21,634.4761904761905,2098,1.0,13324.0,10175.0,3149.0,10,1017.5,1598,0,youtube_20260429162913_00001.pcapng
"('100.72.115.16', '142.251.15.132', 51132, 443, 6)_seg0",28,13323,3149,10174,16,12,0.23635817758763042,0.5714285714285714,0.5272836448247392,0.08234715461730957,0.00304989461545591,0.00716737344888032,0.0,0.025488853454589844,3.886222839355469e-05,475.82142857142856,599.5560889746101,66.0,66.0,82.0,1076.75,1466.0,0.5714285714285714,543.0,570.0763106812982,418.0,605.0718965544507,0.6785714285714044,0.03571428571428444,0.03571428571428444,0.2499999999999911,0.8477148084770054,0.8749999999999454,0.0624999999999961,0.0,0.0624999999999961,0.41666666666663194,0.0,0.08333333333332639,0.4999999999999583,0.46341355882643,0.9184277849930977,9.059906005859378e-06,0.00021576881408691406,0.022293806076049805,1.6564190704387458,1.4061251426820138,1.9788742065429688e-05,5.555152893066406e-05,0.02611255645751953,2.007720157712512,1.651397955648668,2.2950719774687713,21,1.3333333333333333,634.4285714285714,3,2098,1.0,1.1078002662332311,0.5345224838244479,0.47619047619047616,21,634.4285714285714,2098,1.0,21,634.4285714285714,2098,1.0,21,634.4285714285714,2098,1.0,13323.0,10174.0,3149.0,10,1017.4,1598,0,youtube_20260429162913_00001.pcapng
"('100.72.115.16', '142.251.15.132', 51134, 443, 6)_seg0",28,13325,3149,10176,16,12,0.23632270168855535,0.5714285714285714,0.5273545966228893,0.08353567123413086,0.0030939137494122543,0.007324452094913511,9.5367431640625e-07,0.02581787109375,3.814697265625e-05,475.89285714285717,599.6123354352565,66.0,66.0,82.0,1078.25,1466.0,0.5714285714285714,543.0,570.0763106812982,418.0,605.0718965544507,0.6785714285714044,0.03571428571428444,0.03571428571428444,0.2499999999999911,0.8477148084770054,0.8749999999999454,0.0624999999999961,0.0,0.0624999999999961,0.41666666666663194,0.0,0.08333333333332639,0.4999999999999583,0.46341355882643,0.9184277849930977,1.3256072998046879e-05,0.00022339820861816406,0.023412322998046874,1.6944403860428736,1.4196976451686274,3.337860107421875e-05,0.00017189979553222656,0.025351524353027344,1.971035635385026,1.6598549830093952,2.268388433857184,21,1.3333333333333333,634.5238095238095,3,2098,1.0,1.1077009461877836,0.5345224838244479,0.47619047619047616,21,634.5238095238095,2098,1.0,21,634.5238095238095,2098,1.0,21,634.5238095238095,2098,1.0,13325.0,10176.0,3149.0,10,1017.6,1598,0,youtube_20260429162913_00001.pcapng
"('100.72.115.16', '142.251.15.132', 51148, 443, 6)_seg0",31,13534,3227,10307,17,14,0.2384365302201862,0.5483870967741935,0.5231269395596276,0.10842657089233398,0.003614219029744466,0.00795413492134827,0.0,0.025433778762817383,3.981590270996094e-05,436.5806451612903,582.3251377684145,66.0,66.0,74.0,757.0,1466.0,0.6129032258064516,543.0,570.0763106812982,418.0,605.0718965544507,0.7096774193548159,0.03225806451612799,0.03225806451612799,0.22580645161289595,0.8009451071538514,0.8823529411764188,0.05882352941176125,0.0,0.05882352941176125,0.4999999999999643,0.0,0.07142857142856633,0.42857142857139796,0.4437572842601484,0.8982053397041498,1.0967254638671875e-05,0.00013375282287597656,0.024946212768554688,1.5857209100283511,1.1436683757690425,2.6559829711914064e-05,0.0001633167266845703,0.024956512451171874,1.6433853750923118,1.2394925645327235,1.9104783590202483,22,1.4090909090909092,615.1818181818181,3,2098,1.0,1.1262855978207822,0.5521691215681143,0.5,22,615.1818181818181,2098,1.0,22,615.1818181818181,2098,1.0,22,615.1818181818181,2098,1.0,13534.0,10307.0,3227.0,11,937.0,1598,0,youtube_20260429162913_00001.pcapng
"('100.72.115.16', '142.251.15.132', 51150, 443, 6)_seg0",70,41376,5585,35791,35,35,0.13498163186388246,0.5,0.7300367362722351,170.16477990150452,2.4661562304565874,11.565796077365352,2.384185791015625e-07,58.93204879760742,0.00012755393981933594,591.0857142857143,716.4932208403677,66.0,66.0,105.0,1466.0,1466.0,0.44285714285714284,543.0,570.0763106812982,418.0,605.0718965544507,0.5857142857142774,0.07142857142857041,0.04285714285714225,0.2999999999999957,0.9980030655458828,0.8857142857142604,0.05714285714285551,0.028571428571427755,0.028571428571427755,0.28571428571427754,0.08571428571428326,0.05714285714285551,0.5714285714285551,0.47420812719914446,1.0518444149709996,4.3058395385742186e-05,0.0010236501693725586,0.04159531593322754,3.214112463962276,2.917849058724017,3.848075866699219e-05,0.0006778240203857422,0.028194952011108394,3.2173204244998055,2.9179547466028484,3.9152621567038626,50,1.4,827.52,5,2932,1.0,1.2060846643121643,0.5532833351720929,0.46,50,827.52,2932,1.0,50,827.52,2932,1.0,50,827.52,2932,1.0,40497.0,35515.0,4982.0,23,1556.1304347826087,2932,0,youtube_20260429162913_00001.pcapng
"('100.72.115.16', '142.251.152.119', 33506, 443, 6)_seg0",111,51585,9856,41729,46,65,0.19106329359309876,0.4144144144144144,0.6178734128138025,225.43269109725952,2.0493881008841774,9.862305071871242,0.0,58.945287227630615,8.177757263183594e-05,464.72972972972974,582.3005469291446,66.0,66.0,105.0,864.5,1466.0,0.44144144144144143,232.0,282.9204835284996,768.0,698.0057306355013,0.6396396396396339,0.09009009009008928,0.027027027027026786,0.24324324324324106,0.9441288098889551,0.804347826086939,0.10869565217391068,0.021739130434782136,0.06521739130434641,0.5230769230769151,0.07692307692307575,0.0307692307692303,0.3692307692307636,0.6776198922279834,1.0112636746865513,2.1362304687500005e-05,0.0008339881896972656,11.072010707855245,2.980864451201072,2.9520850324927843,7.152557373046892e-08,0.00014603137969970703,0.8936107873916649,3.6161077747078387,3.6856848130695177,3.643546495520808,66,1.6818181818181819,781.5909090909091,5,4398,1.0,1.4039363998796468,0.5777718466599794,0.48484848484848486,66,781.5909090909091,4398,1.0,66,781.5909090909091,4398,1.0,65,793.6153846153846,4398,1.0,28562.0,27177.0,3013.0,32,1304.03125,4398,0,youtube_20260429162913_00001.pcapng
"('100.72.115.16', '142.251.16.94', 33274, 443, 17)_seg0",15,15271,5542,9729,7,8,0.36291009102219896,0.4666666666666667,0.27417981795560215,0.02859330177307129,0.0020423786980765207,0.00308103308080685,2.0503997802734375e-05,0.0111541748046875,0.0003905296325683594,1018.0666666666667,907.9558334828603,99.0,182.5,1294.0,1294.0,1294.0,0.13333333333333333,1294.0,0.0,1617.75,1352.0762506234623,0.3333333333333111,0.0,0.13333333333332445,0.5333333333332978,0.9701157839869381,0.4285714285713673,0.0,0.0,0.5714285714284898,0.24999999999996875,0.0,0.24999999999996875,0.4999999999999375,0.6829081047004717,1.0397207708399179,2.6226043701171875e-05,0.003485560417175293,0.01078486442565918,0.9888104438513051,0.31243314305653846,6.670951843261719e-05,0.0003273487091064453,0.007020950317382814,1.3752334392907655,1.170818096476454,0.7398647951186265,7,2.142857142857143,2181.5714285714284,4,7499,1.0,1.07395466193138,0.5249338582672092,0.42857142857142855,7,2181.5714285714284,7499,1.0,7,2181.5714285714284,7499,1.0,7,2181.5714285714284,7499,1.0,15271.0,9729.0,5542.0,3,3243.0,7499,0,youtube_20260429162913_00001.pcapng
"('100.72.115.16', '142.251.16.94', 40538, 443, 6)_seg0",83,24803,5975,18828,37,46,0.2408982784340604,0.4457831325301205,0.5182034431318792,1.006730079650879,0.012277196093303402,0.06836776428009828,0.0,0.5907092094421387,0.00016677379608154297,298.8313253012048,422.13173354358076,66.0,66.0,105.0,218.5,1183.1999999999996,0.43373493975903615,540.5,569.9918859071593,418.0,605.0718965544507,0.74698795180722,0.12048192771084193,0.024096385542168385,0.10843373493975773,0.8035454468341643,0.8918918918918678,0.08108108108107888,0.0,0.027027027027026296,0.6304347826086819,0.15217391304347494,0.04347826086956427,0.1739130434782571,0.4033344965794088,1.0178853789335838,9.775161743164062e-06,0.002206563949584961,0.012253403663635254,3.728473725013961,4.851995597311514,2.384185791015625e-07,0.0004208087921142578,0.011611747741699222,4.2938358489509385,5.530905447215754,3.9574690489622943,43,1.930232558139535,576.8139534883721,6,2932,1.0,1.1875179770977913,0.5848029445544728,0.4883720930232558,43,576.8139534883721,2932,1.0,43,576.8139534883721,2932,1.0,43,576.8139534883721,2932,1.0,13317.0,10791.0,3449.0,21,896.5714285714286,2932,0,youtube_20260429162913_00001.pcapng
"('100.72.115.16', '142.251.16.94', 55969, 443, 17)_seg0",45,33214,7444,25770,19,26,0.2241223580417896,0.4222222222222222,0.5517552839164208,52.319602966308594,1.1890818855979226,4.888741839133028,6.4373016357421875e-06,29.087090015411377,0.00018310546875,738.0888888888888,615.5908028416359,73.0,78.0,737.0,1294.0,1294.0,0.3111111111111111,1294.0,0.0,1304.75,870.1612997025321,0.3777777777777694,0.08888888888888691,0.08888888888888691,0.44444444444443454,1.1584485517926617,0.5789473684210222,0.21052631578946263,0.0,0.21052631578946263,0.2307692307692219,0.0,0.15384615384614794,0.6153846153845918,0.9724809323379562,0.9251290835720822,5.376338958740236e-05,0.001920461654663086,11.234970021247864,2.518439329451398,2.686568329910687,3.790855407714844e-05,0.0002181529998779297,6.4776202678680574,3.0312842135931786,3.3274800151511807,3.223815900257041,29,1.5517241379310345,1145.3103448275863,5,7534,1.0,1.5064770917727408,0.6681465057050319,0.4827586206896552,29,1145.3103448275863,7534,1.0,29,1145.3103448275863,7534,1.0,29,1145.3103448275863,7534,1.0,15303.0,12451.0,5539.0,14,1840.7142857142858,7534,0,youtube_20260429162913_00001.pcapng
